Folders,Notes,WorkingSize,BackupSize
camels_10244950_11339045,KEEP_FOLDER,NA,NA
camels_01123000_6162981,KEEP_FOLDER,NA,NA
camels_02053800_8629303,NotDELETED_Backup_Not_Same_Size,727321149,1125220907
camels_04074950_9027875,NotDELETED_Backup_Not_Same_Size,2249241431,2163824689
camels_02481510_18075806,NotDELETED_Backup_Not_Same_Size,505718803,1352883722
camels_01139800_4573939,NotDELETED_Backup_Not_Same_Size,260394148,273433932
camels_02143000_9745122,NotDELETED_Backup_Not_Same_Size,699139082,1069672237
camels_14362250_23935979,KEEP_FOLDER,NA,NA
camels_08202700_10655687,NotDELETED_Backup_Not_Same_Size,578509104,1037877186
camels_04197100_15612400,NotDELETED_Backup_Not_Same_Size,923333630,800085742
camels_07142300_21195628,NotDELETED_Backup_Not_Same_Size,998359220,2502836585
camels_08165300_3585678,NotDELETED_Backup_Not_Same_Size,598675937,1128053727
camels_01423000_2613578,KEEP_FOLDER,NA,NA
camels_12048000_23997388,NotDELETED_Backup_Not_Same_Size,553315395,1012161263
camels_02481000_18070104,NotDELETED_Backup_Not_Same_Size,586994243,472411584
camels_05291000_4085588,NotDELETED_Backup_Not_Same_Size,1883736922,1784441583
camels_02111180_9251726,NotDELETED_Backup_Not_Same_Size,492436466,628339098
camels_05466500_6960295,NotDELETED_Backup_Not_Same_Size,2512006018,2431921962
camels_02064000_8647998,NotDELETED_Backup_Not_Same_Size,1002967760,1697927435
camels_02298123_16808187,NotDELETED_Backup_Not_Same_Size,867437227,1171012184
camels_08158700_5780099,NotDELETED_Backup_Not_Same_Size,342372391,591708565
camels_01549500_8144818,KEEP_FOLDER,NA,NA
camels_07362100_21956120,KEEP_FOLDER,NA,NA
camels_01542810_8125917,NotDELETED_Backup_Not_Same_Size,246997107,129165575
camels_02369800_789206,NotDELETED_Backup_Not_Same_Size,530581778,599873047
camels_06803510_17405547,KEEP_FOLDER,NA,NA
camels_02193340_6289497,NotDELETED_Backup_Not_Same_Size,390911610,254887177
camels_01518862_8111873,KEEP_FOLDER,NA,NA
camels_12377150_24356265,NotDELETED_Backup_Not_Same_Size,1279242193,1344090663
camels_09513780_20415812,NotDELETED_Backup_Not_Same_Size,398788516,697414286
camels_01052500_19334265,KEEP_FOLDER,NA,NA
camels_02300700_16918210,KEEP_FOLDER,NA,NA
camels_06440200_16131669,NotDELETED_Backup_Not_Same_Size,918284019,2389675201
camels_01543000_8127529,KEEP_FOLDER,NA,NA
camels_06311000_5348813,NotDELETED_Backup_Not_Same_Size,168153203,220836410
camels_01350080_3247464,NotDELETED_Backup_Not_Same_Size,262155404,153567092
camels_09107000_1333022,NotDELETED_Backup_Not_Same_Size,823852475,699084024
camels_07335700_588170,KEEP_FOLDER,NA,NA
camels_01580000_4726301,KEEP_FOLDER,NA,NA
camels_04063700_6844165,KEEP_FOLDER,NA,NA
camels_02374500_933140017,NotDELETED_Backup_Not_Same_Size,1050465894,1456900526
camels_09210500_18354249,NotDELETED_Backup_Not_Same_Size,1122081299,1005751751
camels_12447390_24384943,NotDELETED_Backup_Not_Same_Size,185840050,287526312
